Lot,Description,Brand,Type,Year,Color,Leather,Hardware,Estimate (USD),Lower Estimate (USD),Higher Estimate (USD),Price Realized (USD),Price Category,Variance from Higher Estimate
90,SHINY SHADED SALVATOR LIZARD & DARK GREEN MINI VERSO MOSAÏQUE 17,HERMES,Mini Mosaïque 17,2019,Grey,Lizard,Palladium,6400−10200,6400,10200,0,No Sale,-10200
91,LIMITED EDITION SHINY SHADED SALVATOR LIZARD & CARAMEL EVERCOLOR MINI ROULIS,HERMES,"Mini Roulis, Limited Edition",2020,Brown,Lizard & Evercolor,Permabrass,7700−12800,7700,12800,8900,Within Estimate,-3900
92,LIMITED EDITION SHINY SHADED SALVATOR LIZARD & MATTE TITIAN GREEN ALLIGATOR,HERMES,"N/A, Limited Edition",2017,Green,Lizard & Alligator,Palladium,9000−14100,9000,14100,9700,Within Estimate,-4400
93,COFFEE CLEMENCE LEATHER BIRKIN 30,HERMES,Birkin 30,2015,Brown,Clemence,Gold,6400−10200,6400,10200,12100,Above Estimate,1900
94,DARK BROWN OSTRICH BIRKIN 30,HERMES,Birkin 30,2007,Brown,Ostrich,Palladium,10200−15400,10200,15400,17700,Above Estimate,2300
95,CHOCOLATE BOX CALF LEATHER RETOURNÉ KELLY 32,HERMES,Kelly 32,1993,Brown,Box Calf,Gold,5100−7700,5100,7700,7300,Within Estimate,-400
96,MATTE EBONY NILOTICUS CROCODILE PLUME 28,HERMES,Plume 28,2002,Black,Crocodile,Gold,6400−10200,6400,10200,9700,Within Estimate,-500
97,MATTE EBONY NILOTICUS CROCODILE BIRKIN 30,HERMES,Birkin 30,2011,Black,Crocodile,Palladium,17900−25600,17900,25600,21000,Within Estimate,-4600
98,"PETIT H LIMITED EDITION MATTE EBONY ALLIGATOR, EBONY SOMBRERO & ANISE GREEN",HERMES,"Petit H, Limited Edition",2021,Black,Alligator,Goose Clasp,3800−5100,3800,5100,4800,Within Estimate,-300
99,LIMITED EDITION EBONY SWIFT LEATHER & VELOURS COTELE ROULIS 23,HERMES,"Roulis 23, Limited Edition",2020,Black,Swift & Velours,Gold,3800−5100,3800,5100,4200,Within Estimate,-900
100,LIMITED EDITION EMBROIDERED LEOPARD & BLACK SWIFT LEATHER MINI ROULIS,HERMES,"Mini Roulis, Limited Edition",2021,Black,Swift,Palladium,5100−7700,5100,7700,6100,Within Estimate,-1600
101,LIMITED EDITION SHINY BLACK NILOTICUS CROCODILE SO BLACK GOODLOCK CLUTCH,HERMES,"Clutch, Limited Edition",2016,Black,Crocodile,Black PVD,5100−7700,5100,7700,0,No Sale,-7700
102,MATTE BLACK ALLIGATOR VERROU CLUTCH,HERMES,Verrou Clutch,2010,Black,Alligator,Palladium,5100−7700,5100,7700,7300,Within Estimate,-400
103,LIMITED EDITION BLACK SWIFT LEATHER & ALEZAN CALF DOBLIS MINI BERLINE 21,HERMES,"Mini Berline 21, Limited Edition",2014,Black,Swift & Doblis,Palladium,2600−3600,2600,3600,3500,Within Estimate,-100
104,BLACK CLEMENCE LEATHER PICOTIN 22,HERMES,Picotin 22,2024,Black,Clemence,Palladium,2600−3600,2600,3600,4200,Above Estimate,600
105,BLACK SWIFT LEATHER KELLY JUMP,HERMES,Kelly Jump,2024,Black,Swift,Palladium,7700−12800,7700,12800,15300,Above Estimate,2500
106,LIMITED EDITION BLACK MONSIEUR LEATHER SAC A MALICE,HERMES,"Sac à Malice, Limited Edition",2021,Black,Monsieur,Palladium,7700−12800,7700,12800,8100,Within Estimate,-4700
107,LIMITED EDITION BLACK CALF BOX LEATHER CLOUTÉ MINI KELLY 20 II,HERMES,"Mini Kelly 20 II, Limited Edition",2023,Black,Box Calf,Palladium,38400−51200,38400,51200,0,No Sale,-51200
108,LIMITED EDITION SHINY BLACK POROSUS CROCODILE & FEATHERS KELLY ÉLAN FOLIE,HERMES,"Kelly Élan Folie, Limited Edition",2024,Black,Crocodile,Gold,25600−35900,25600,35900,45200,Above Estimate,9300
109,BLACK EPSOM LEATHER CONSTANCE 24,HERMES,Constance 24,2014,Black,Epsom,Gold,6400−10200,6400,10200,10500,Above Estimate,300
110,SHINY BLACK NILOTICUS CROCODILE ROULIS 23,HERMES,Roulis 23,2019,Black,Crocodile,Gold,7700−12800,7700,12800,11300,Within Estimate,-1500
111,LIMITED EDITION SHINY BLACK NILOTICUS LIZARD & SWIFT LEATHER MINI TOUCH 24/24,HERMES,"Mini 24/24, Limited Edition",2022,Black,Lizard & Swift,Gold,3800−5100,3800,5100,14500,Above Estimate,9400
112,LIMITED EDITION BLACK TADELAKT LEATHER & SHINY BLACK NILOTICUS LIZARD SMILE BOLIDE,HERMES,"Bolide, Limited Edition",2019,Black,Tadelakt & Lizard,Palladium,6400−10200,6400,10200,12100,Above Estimate,1900
113,BLACK TOGO LEATHER RETOURNÉ KELLY 25,HERMES,Kelly 25,2012,Black,Togo,Palladium,5100−7700,5100,7700,15300,Above Estimate,7600
114,LIMITED EDITION BLACK SWIFT LEATHER SELLIER PADDED KELLY 25,HERMES,"Kelly 25, Limited Edition",2022,Black,Swift,Gold,12800−20500,12800,20500,24200,Above Estimate,3700
115,BLACK EPSOM LEATHER SELLIER KELLY 28,HERMES,Kelly 28,2016,Black,Epsom,Gold,7700−12800,7700,12800,13700,Above Estimate,900
116,BLACK CALF BOX LEATHER SELLIER KELLY 32,HERMES,Kelly 32,2017,Black,Box Calf,Gold,6400−10200,6400,10200,14500,Above Estimate,4300
117,BLACK CLEMENCE LEATHER BIRKIN 35,HERMES,Birkin 35,2008,Black,Clemence,Palladium,7700−12800,7700,12800,13700,Above Estimate,900
118,MATTE BLACK POROSUS CROCODILE BIRKIN 35,HERMES,Birkin 35,2007,Black,Crocodile,Palladium,28200−38400,28200,38400,30700,Within Estimate,-7700
119,BLACK CALF BOX LEATHER RETOURNÉ KELLY 40,HERMES,Kelly 40,2009,Black,Box Calf,Palladium,3800−5100,3800,5100,9700,Above Estimate,4600
120,CUSTOM BLACK TOGO LEATHER KELLY ADO 28,HERMES,"Kelly Ado 28, Custom",2018,Black,Togo,Palladium,5100−7700,5100,7700,14500,Above Estimate,6800
121,BLACK EVERCALF LEATHER & TOILE HAC BIRKIN 40,HERMES,Birkin 40,2016,Black,Evercalf & Toile,Palladium,6400−10200,6400,10200,8100,Within Estimate,-2100
122,MATTE GRAPHITE ALLIGATOR MINI CONSTANCE,HERMES,Mini Constance,2017,Gray,Alligator,Gold,15400−23100,15400,23100,24200,Above Estimate,1100
123,GRAPHITE EPSOM LEATHER KELLY DÉPÊCHES 38,HERMES,Kelly Dépêches,2007,Gray,Epsom,Palladium,5100−7700,5100,7700,5600,Within Estimate,-2100
124,PARCHMENT CLEMENCE LEATHER JPG SHOULDER BIRKIN 42,HERMES,"Birkin 42, JPG Shoulder",2008,Beige,Clemence,Palladium,3800−5100,3800,5100,5600,Above Estimate,500
125,PARCHMENT CALF BOX LEATHER SELLIER KELLY 28,HERMES,Kelly 28,1993,Beige,Box Calf,Gold,6400−10200,6400,10200,8900,Within Estimate,-1300
126,SHINY PARCHMENT NILOTICUS LIZARD KELLY POCHETTE,HERMES,Kelly Pochette,2007,Beige,Lizard,Palladium,12800−20500,12800,20500,29100,Above Estimate,8600
127,"LIMITED EDITION IVORY, SYLVESTER MAUVE & LIME EPSOM LEATHER KELLYDOLE PICTO",HERMES,"Kellydole Picto, Limited Edition",2023,Beige,Epsom,Palladium,38400−51200,38400,51200,88800,Above Estimate,37600
128,LIMITED EDITION IVORY CLEMENCE LEATHER MAXI QUADRILLE MINI LINDY,HERMES,"Mini Lindy, Limited Edition",2022,White,Clemence,Palladium,6400−10200,6400,10200,9700,Within Estimate,-500
129,IVORY EPSOM LEATHER CONSTANCE 1-24,HERMES,Constance 1-24,2022,White,Epsom,Gold,7700−12800,7700,12800,11300,Within Estimate,-1500
130,CUSTOM IVORY & PEARL GRAY GOATSKIN LEATHER MINI KELLY 20 II,HERMES,"Mini Kelly 20 II, Custom",2022,White,Goat,Permabrass,17900−25600,17900,25600,27500,Above Estimate,1900
131,LIMITED EDITION IVORY SWIFT LEATHER IN & OUT RETOURNÉ KELLY 25,HERMES,"Kelly 25, Limited Edition",2021,White,Swift,Palladium,15400−23100,15400,23100,19400,Within Estimate,-3700
132,LIMITED EDITION IVORY CANVAS & SWIFT LEATHER CARGO BIRKIN 35,HERMES,"Birkin 35, Limited Edition",2021,White,Swift & Canvas,Palladium,20500−30800,20500,30800,29100,Within Estimate,-1700
134,CHALK TOGO LEATHER RETOURNÉ KELLY 28,HERMES,Kelly 28,2019,Beige,Togo,Palladium,9000−14100,9000,14100,16100,Above Estimate,2000
135,CHALK EPSOM LEATHER CONSTANCE 24,HERMES,Constance 24,2017,Beige,Epsom,Gold,6400−10200,6400,10200,8100,Within Estimate,-2100
136,CHALK TOGO LEATHER BIRKIN 25,HERMES,Birkin 25,2024,Beige,Togo,Gold,12800−20500,12800,20500,22600,Above Estimate,2100
137,CHALK EPSOM LEATHER BIRKIN 30,HERMES,Birkin 30,2018,Beige,Epsom,Gold,7700−12800,7700,12800,10500,Within Estimate,-2300
138,CONCRETE EVERCOLOR LEATHER MINI JYPSIÈRE,HERMES,Mini Jypsiere,2023,Gray,Evercolor,Palladium,5100−7700,5100,7700,6100,Within Estimate,-1600
139,MATTE CONCRETE ALLIGATOR VERROU 23,HERMES,Verrou 23,2018,Gray,Alligator,Palladium,5100−7700,5100,7700,9700,Above Estimate,2000
140,CUSTOM CONCRETE & ASHALT GRAY TOGO LEATHER RETOURNÉ KELLY 28,HERMES,"Kelly 28, Custom",2019,Gray,Togo,Gold,7700−12800,7700,12800,12900,Above Estimate,100
141,LIMITED EDITION CONCRETE TOGO & SWIFT LEATHER 3 IN 1 BIRKIN 30,HERMES,"Birkin 30, Limited Edition",2023,Gray,Togo & Swift,Palladium,12800−20500,12800,20500,21000,Above Estimate,500
142,"RARE, MATTE CONCRETE ALLIGATOR, WHITE TOGO, SWIFT & SOMBRERO BIRKIN 20",HERMES,"Birkin 20, Rare",2022,White,Alligator & Togo,Palladium,153600−281600,153600,281600,274600,Within Estimate,-7000
143,"RARE, MATTE WHITE HIMALAYA NILOTICUS CROCODILE BIRKIN 25",HERMES,"Birkin 25, Rare",2014,White,Crocodile,Palladium,128000−230400,128000,230400,113000,Below Estimate,-117400
144,NEW WHITE SWIFT LEATHER KELLY POCHETTE,HERMES,Kelly Pochette,2022,White,Swift,Gold,7700−12800,7700,12800,25800,Above Estimate,13000
145,LIMITED EDITION WHITE & KRAFT EVERCOLOR LEATHER VERSO KELLY DANSE,HERMES,"Kelly Danse, Limited Edition",2023,White,Evercolor,Gold,7700−12800,7700,12800,13700,Above Estimate,900
146,WHITE CLEMENCE LEATHER BIRKIN 35,HERMES,Birkin 35,2010,White,Clemence,Palladium,6400−10200,6400,10200,8900,Within Estimate,-1300
147,"CUSTOM WHITE, DARK BLUE & PEARL GRAY CLEMENCE LEATHER BIRKIN 30",HERMES,"Birkin 30, Custom",2011,White,Clemence,Palladium,9000−14100,9000,14100,15300,Above Estimate,1200
148,LIMITED EDITION PLATINUM GRAY & WHITE EPSOM LEATHER BOLIDE ON WHEELS,HERMES,"Bolide on Wheels, Limited Edition",2024,White,Epsom,Palladium,10200−15400,10200,15400,22600,Above Estimate,7200
149,PALE GRAY EPSOM LEATHER MINI CONSTANCE MIRROR,HERMES,Mini Constance Mirror,2023,Gray,Epsom,Gold,7700−12800,7700,12800,12100,Within Estimate,-700
150,PEARL GRAY OSTRICH MINI LINDY,HERMES,Mini Lindy,2021,Gray,Ostrich,Palladium,10200−15400,10200,15400,15300,Within Estimate,-100
151,CUSTOM MATTE PEARL GRAY & OREGANO ALLIGATOR MINI KELLY 20 II,HERMES,"Mini Kelly 20 II, Custom",2021,Grey,Alligator,Gold,38400−51200,38400,51200,48400,Within Estimate,-2800
152,PEARL GRAY EVERCOLOR LEATHER RETOURNÉ KELLY 28,HERMES,Kelly 28,2020,Gray,Evercolor,Gold,7700−12800,7700,12800,14500,Above Estimate,1700
153,LIMITED EDITION WHITE & PEARL GRAY SWIFT LEATHER GHILLIES KELLY 32,HERMES,"Kelly 32, Limited Edition",2012,White,Swift,Palladium,5100−7700,5100,7700,9700,Above Estimate,2000
154,LIMITED EDITION BEIGE MARFA SWIFT LEATHER SHADOW BIRKIN CUT,HERMES,"Birkin Cut, Limited Edition",2023,Beige,Swift,Leather,5100−7700,5100,7700,9700,Above Estimate,2000
155,DOVE GRAY SWIFT LEATHER BIRKIN 30,HERMES,Birkin 30,2009,Gray,Swift,Gold,3800−5100,3800,5100,6800,Above Estimate,1700
