Lot,Brand,Description,Year,Color,Leather,Hardware,Estimate (USD),Price Realized (USD)
153,HERMÈS,LIMITED EDITION WHITE & PEARL GRAY SWIFT LEATHER GHILLIES KELLY 32,2012,White,Swift,Palladium,"5,100−7,700",9700
154,HERMÈS,LIMITED EDITION BEIGE MARFA SWIFT LEATHER SHADOW BIRKIN CUT,2023,Beige,Swift,Leather,"5,100−7,700",9700
155,HERMÈS,DOVE GRAY SWIFT LEATHER BIRKIN 30,2009,Gray,Swift,Gold,"3,800−5,100",6800
156,HERMÈS,DOVE GRAY OSTRICH SELLIER KELLY 32,1994,Gray,Ostrich,Gold,"5,100−7,700",8900
157,HERMÈS,LIMITED EDITION ÉTOUPE & AZTEC BLUE CLEMENCE LEATHER ÉCLAT KELLY 28,2011,Grey,Clemence,Palladium,"7,700−12,800",13700
158,HERMÈS,ÉTOUPE TOGO LEATHER BIRKIN 30,2008,Beige,Togo,Palladium,"7,700−12,800",12100
159,HERMÈS,ÉTOUPE TOGO LEATHER RETOURNÉ KELLY 32,2021,Beige,Togo,Palladium,"7,700−12,800",12900
160,HERMÈS,"CUSTOM ÉTOUPE, GRAPHITE & BOUGAINVILLEA TOGO BIRKIN 35",2011,Grey,Togo,Palladium,"6,400−10,200",10500
161,HERMÈS,ÉTOUPE CLEMENCE LEATHER & CRINOLINE VICTORIA CABAS II 40,2006,Beige,Clemence & Crinoline,Palladium,"2,600−3,600",2900
162,HERMÈS,ASPHALT GRAY TOGO LEATHER RETOURNÉ KELLY 28,2020,Gray,Togo,Palladium,"9,000−14,100",15300
163,HERMÈS,TIN EPSOM LEATHER SELLIER KELLY 28,2018,Gray,Epsom,Gold,"7,700−12,800",16100
164,HERMÈS,TIN TOGO & SWIFT LEATHER 24/24 29,2019,Gray,Togo & Swift,Gold,"6,400−10,200",8900
165,HERMÈS,"LIMITED EDITION MISTY GRAY, BLACK, FIZZ GREEN & ALEZAN EPSOM KELLYDOLE PICTO",2024,Black,Epsom,Palladium,"38,400−51,200",64600
166,HERMÈS,LIMITED EDITION MISTY GRAY EPSOM LEATHER MINI DÉSORDRE KELLY,2024,Gray,Epsom,Permabrass,"20,500−30,800",30700
167,HERMÈS,CUSTOM AGATE GRAY & BLUE IRIS OSTRICH BIRKIN 25,2020,Gray,Ostrich,Permabrass,"12,800−20,500",21000
168,HERMÈS,BLACK TOGO LEATHER & TOURBE CANVAS KELLY DÉPÊCHES 25,2023,Black,Togo & Canvas,Palladium,"3,800−5,100",6500
169,HERMÈS,LIMITED EDITION VERONESE GREEN TADELAKT LEATHER GHILLIES BIRKIN 35,2013,Green,Tadelakt,Permabrass,"7,700−12,800",15300
170,HERMÈS,SHINY CYPRESS GREEN NILOTICUS LIZARD MINI ROULIS,2022,Green,Lizard,Gold,"7,700−12,800",9700
171,HERMÈS,CYPRESS GREEN TOGO LEATHER BIRKIN 30,2017,Green,Togo,Palladium,"7,700−12,800",12100
172,HERMÈS,MATTE TITIAN GREEN ALLIGATOR KELLY CUT,2014,Green,Alligator,Palladium,"12,800−20,500",25800
173,HERMÈS,SHINY EMERALD GREEN NILOTICUS CROCODILE ÉGÉE,2013,Green,Crocodile,Palladium,"6,400−10,200",7700
174,HERMÈS,SHINY ROUSSEAU GREEN ALLIGATOR MINI KELLY 20 II,2021,Green,Alligator,Gold,"38,400−51,200",56500
175,HERMÈS,CUSTOM TURQUOISE GOATSKIN LEATHER SELLIER KELLY 25,2016,Turquoise,Goat,Brushed Gold,"9,000−14,100",19400
176,HERMÈS,MATTE CACTUS ALLIGATOR MINI CONSTANCE,2016,Green,Alligator,Gold,"15,400−23,100",22600
177,HERMÈS,LIMITED EDITION BAMBOO CLEMENCE LEATHER PICOTIN LOCK MONOCHROME 18,2021,Green,Clemence,Green PVD,"2,600−3,600",4200
178,HERMÈS,BAMBOO & MISTY BLUE SWIFT LEATHER IN THE LOOP BELT BAG,2020,Green,Swift,Palladium,"2,600−3,600",2400
179,HERMÈS,CUSTOM TOSCA & TIN TOGO LEATHER RETOURNÉ KELLY 32,2012,Purple,Togo,Palladium,"6,400−10,200",9700
180,HERMÈS,ANEMONE SWIFT LEATHER KELLY POCHETTE,2017,Pink,Swift,Palladium,"6,400−10,200",12900
181,HERMÈS,ANEMONE EPSOM LEATHER MINI CONSTANCE,2018,Pink,Epsom,Palladium,"6,400−10,200",8100
182,HERMÈS,SHINY VIOLET POROSUS CROCODILE SELLIER KELLY 32,2007,Purple,Crocodile,Palladium,"20,500−30,800",25800
183,HERMÈS,"LIMITED EDITION ULTRAVIOLET, LINEN BLUE, TIN, DARK BLUE, ÉTOUPE & INDIAN BROWN CLEMENCE LEATHER HARLEQUIN BIRKIN 35",2012,Purple,Clemence,Palladium,"7,700−12,800",0
184,HERMÈS,SHINY EGGPLANT POROSUS CROCODILE KELLY CUT,2015,Purple,Crocodile,Palladium,"12,800−20,500",22600
185,HERMÈS,SHINY AMETHYST NILOTICUS CROCODILE SELLIER KELLY 25,2015,Purple,Crocodile,Palladium,"23,100−33,300",25800
186,HERMÈS,LIMITED EDITION RUBY & SHOCKING PINK TADELAKT LEATHER ECLAT KELLY CUT,2010,Red,Tadelakt,Palladium,"6,400−10,200",12900
187,HERMÈS,RUBY TOGO LEATHER SO KELLY 26,2010,Red,Togo,Palladium,"3,800−5,100",3900
188,HERMÈS,CUSTOM RUBY & SLATE SWIFT LEATHER RETOURNÉ KELLY 28,2013,Red,Swift,Palladium,"7,700−12,800",8900
189,HERMÈS,LIMITED EDITION ROUGE H & CASAQUE RED EPSOM LEATHER MINI KELLY CASAQUE 20 II,2024,Red,Epsom,Palladium,"15,400−23,100",25800
190,HERMÈS,CASAQUE RED SWIFT LEATHER MINI CONSTANCE,2015,Red,Swift,Palladium,"6,400−10,200",6100
191,HERMÈS,CUSTOM CASAQUE RED OSTRICH BIRKIN 30,2008,Red,Ostrich,Palladium,"10,200−15,400",14500
192,HERMÈS,CASAQUE RED EPSOM LEATHER SELLIER KELLY 32,2018,Red,Epsom,Gold,"7,700−12,800",14500
193,HERMÈS,"LIMITED EDITION HEART RED, EXTREME PINK & BLUE ZANZIBAR KELLY CASAQUE TO GO",2020,Red,Tadelakt,Palladium,"5,100−7,700",6100
194,HERMÈS,CUSTOM HEART RED & CAPUCINE GOATSKIN LEATHER MINI KELLY 20 II,2023,Red,Goat,Permabrass,"15,400−23,100",27500
195,HERMÈS,PIMENT RED TADELAKT LEATHER MINI VERROU 17,2018,Red,Tadelakt,Palladium,"5,100−7,700",6100
196,HERMÈS,CUSTOM VIVID RED & INDIGO BLUE OSTRICH BIRKIN 25,2019,Red,Ostrich,Brushed Gold,"12,800−20,500",16100
197,HERMÈS,GRENAT RED CLEMENCE LEATHER BIRKIN 25,2012,Red,Clemence,Palladium,"7,700−12,800",12100
198,HERMÈS,BOUGAINVILLEA CLEMENCE LEATHER JPG SHOULDER BIRKIN 42,2010,Pink,Clemence,Palladium,"3,800−5,100",6100
199,HERMÈS,PEONY PINK CLEMENCE LEATHER SO KELLY 22,2014,Red,Clemence,Palladium,"3,800−5,100",3900
200,HERMÈS,BRICK CHAMONIX LEATHER DRAG 37,2000,Brown,Chamonix,Palladium,"1,300−2,300",2700
201,HERMÈS,ROUGE H SWIFT LEATHER BIRKIN 25,2018,Red,Swift,Gold,"7,700−12,800",17700
202,HERMÈS,MATTE ROUGE H POROSUS CROCODILE SELLIER KELLY 35,2015,Red,Crocodile,Palladium,"17,900−25,600",22600
203,HERMÈS,ORANGE H SWIFT LEATHER MINI JYPSIÈRE,2023,Orange,Swift,Palladium,"5,100−7,700",6100
204,HERMÈS,ORANGE SWIFT LEATHER JYPSIÈRE 28,2010,Orange,Swift,Palladium,"2,600−3,600",3100
205,HERMÈS,ORANGE EPSOM LEATHER BOLIDE 27,2015,Orange,Epsom,Palladium,"5,100−7,700",0
206,HERMÈS,ORANGE H CLEMENCE LEATHER JPG SHOULDER KELLY 42,2011,Orange,Clemence,Palladium,"5,100−7,700",6500
207,HERMÈS,LIMITED EDITION ORANGE & SUN SWIFT LEATHER QUELLE IDOLE,2010,Orange,Swift,Palladium,"19,200−28,200",42000
208,HERMÈS,LIMITED EDITION CAPUCINE EPSOM LEATHER MINI CONSTANCE,2020,Orange,Epsom,Enamel,"6,400−10,200",9700
209,HERMÈS,FIRE TOGO LEATHER BIRKIN 30,2015,Orange,Togo,Gold,"6,400−10,200",9700
210,HERMÈS,LIMITED EDITION GOLDEN CHAMKILIGHT GOATSKIN LEATHER MINI CONSTANCE MIRROR,2024,Gold,Goat,Permabrass,"15,400−23,100",21000
